NAME,RACE,AGE,SEX,CRIME,METHOD,DAY,MONTH,YEAR,STATE
ALFRED (VIVION),Black,,M,unknown,Hanging,27,1,1840,AL
ALFRED GEORGE,Black,,M,Murder,Hanging,1,5,1874,KY
ALIA GUISEPPE,White,56,M,Murder,Hanging,15,7,1908,CO
ALLEMAN WILLIAM,unknown,,M,Murder,Electrocution,11,5,1951,LA
ALLEN,Black,,M,Murder,Hanging,10,4,1863,NC
ALLEN (DUNSTON),Black,,M,Murder,Hanging,23,12,1792,VA
ALLEN (MASON),Black,,M,Poisoning,Hanging,30,10,1795,VA
ALLEN (RUSSELL),Black,,M,Rape,Hanging,1,3,1823,TN
ALLEN (SMITH),Black,,M,Murder,Hanging,30,11,1827,VA
ALLEN ALBERT,Black,25,M,Robbery - Murder,Electrocution,20,3,1953,DC
ALLEN CHARLIE,Black,57,M,Robbery - Murder,Electrocution,26,6,1947,TX
ALLEN CLAUDE,White,23,M,Murder,Electrocution,28,3,1913,VA
ALLEN E. P.,White,,M,Desertion,Shot,,8,1864,TX
ALLEN EDWARD,White,25,M,Murder,Electrocution,15,7,1924,NJ
ALLEN FLOYD,White,56,M,Murder,Electrocution,28,3,1913,VA
ALLEN FRANK,Black,,M,Attempted Rape,Hanging,22,8,1907,VA
ALLEN FRED,Black,,M,Rape,Hanging,5,7,1918,IA
ALLEN GEORGE,White,20,M,Murder,Shot,20,2,1925,UT
ALLEN GEORGE,Black,,M,Murder,Electrocution,20,7,1923,SC
ALLEN GRANVILLE,Black,28,M,Murder,Gas,28,10,1938,MO
ALLEN HENRY,Black,19,M,Murder,Electrocution,11,3,1954,NY
ALLEN HERMAN,White,35,M,Murder,Gas,30,10,1942,NC
ALLEN HORACE,Black,45,M,Murder,Electrocution,17,7,1925,VA
ALLEN JACK,White,,M,Robbery - Murder,Hanging,20,7,1888,NY
ALLEN JAMES,Black,36,M,Murder,Hanging,12,9,1917,DC
ALLEN JAMES,Black,21,M,Robbery - Murder,Electrocution,5,1,1934,TN
